algorithm;filename;run_number;internal_time;external_time;external_memory;opt;
mgreendp1;sc_a-5n10000wmin110000-1-c4997908.ukp;1;100.401;100.42;136316;4997698;
mgreendp1;ss2_wmin50000wmax500000n10000-0-s827183242c5448462.ukp;1;342.617;342.64;146704;5448462;
cpp-mtu1;nsds2_n50000wmin20000-13-s273864349c1759284.ukp;1;0.058794;0.16;5808;5309486;
mgreendp1;saw_n100000wmin10000-3-s952877847c2362745.ukp;1;224.428;224.62;85252;2363452;
mgreendp1;hi_n5000-12-s420935988c6348861.ukp;1;511.267;511.29;7817388;329391721;
mgreendp1;hi_n50000-19-s808826180c41622293.ukp;1;;0.23;4788;;
mgreendp1;sc_a5n5000wmin15000-1-c445950.ukp;1;2.39711;2.41;18984;446095;
cpp-mtu2;sc_a5n10000wmin50000-0-c8309846.ukp;1;;600.00;3580;;
cpp-mtu1;saw_n50000wmin5000-13-s664283699c547316.ukp;1;1.00516;1.10;5848;547860;
cpp-mtu2;nsds2_n20000wmin50000-14-s577520629c1757564.ukp;1;0.140292;0.18;4268;2237483;
mgreendp1;hi_n5000-25-s199811851c295352.ukp;1;293.073;293.08;5194480;14841895;
mgreendp1;hi_n5000-41-s262685617c6678450.ukp;1;534.613;534.65;7824584;346660818;
cpp-mtu2;hi_n5000-1-s594914841c3897377.ukp;1;;600.00;3388;;
cpp-mtu2;hi_n50000-31-s410031365c5184644.ukp;1;;600.00;4820;;
cpp-mtu2;saw_n50000wmin10000-14-s133254276c855055.ukp;1;0.874907;0.98;5108;855224;
cpp-mtu2;hi_n50000-27-s532584774c87763824.ukp;1;;600.00;4664;;
cpp-mtu1;nsds2_n50000wmin20000-12-s774727805c1737310.ukp;1;116.998;117.11;5884;5266508;
mgreendp1;hi_n10000-45-s19378828c34021658.ukp;1;;0.16;3624;;
cpp-mtu2;hi_n5000-40-s534548386c5024417.ukp;1;;600.00;3292;;
cpp-mtu2;saw_n10000wmin10000-14-s133254276c424245.ukp;1;0.0019537;0.02;3536;424327;
mgreendp1;saw_n50000wmin5000-49-s207481729c596577.ukp;1;20.0647;20.16;26880;597171;
cpp-mtu1;sc_a-5n10000wmin110000-0-c3949309.ukp;1;0.00073136;0.02;3628;3949144;
mgreendp1;saw_n100000wmin10000-9-s840509679c6574795.ukp;1;250.515;250.70;190704;6578079;
cpp-mtu1;hi_n20000-13-s204947608c77271005.ukp;1;;600.00;4268;;
mgreendp1;hi_n5000-48-s888315654c8258588.ukp;1;;600.34;7816852;;
mgreendp1;nsds2_n50000wmin50000-1-s720843886c1834312.ukp;1;;600.00;789184;;
