algorithm;filename;run_number;total_iter;hex_sum_knapsack_time;hex_sum_sort_time;hex_sum_master_prob_time;hex_rolls;
mtu1_cutstock;402_10000_NR_14.csp.txt;1;;;;;;
cplex_cutstock;402_10000_NR_14.csp.txt;1;;;;;;
ukp5_fp_cutstock;402_10000_NR_37.csp.txt;1;1619;0x1.03a6551824285p+0;0x1.fa1183e0f5a39p-6;0x1.7d2b205068b5p+1;0x1.07ffffffffffep+7;
ukp5_fp_ns_cutstock;402_10000_NR_37.csp.txt;1;1694;0x1.8becdc0342f82p-1;0x0p+0;0x1.962d0b95a42ffp+1;0x1.0800000000002p+7;
ukp5_int_cutstock;402_10000_NR_37.csp.txt;1;1670;0x1.fe27c9b75d688p-1;0x1.c262140b139f3p-6;0x1.9828e2149039p+1;0x1.0800000000001p+7;
ukp5_int_ns_cutstock;402_10000_NR_37.csp.txt;1;1672;0x1.6addc55c59e1dp-1;0x0p+0;0x1.9abf6accdb183p+1;0x1.0800000000003p+7;
mtu1_cutstock;402_10000_NR_37.csp.txt;1;;;;;;
cplex_cutstock;402_10000_NR_37.csp.txt;1;;;;;;
ukp5_fp_cutstock;402_10000_NR_40.csp.txt;1;1841;0x1.450b013f340c8p+0;0x1.210442c100f7cp-5;0x1.a6824cabaa3d9p+1;0x1.07ffffffffffep+7;
ukp5_fp_ns_cutstock;402_10000_NR_40.csp.txt;1;1832;0x1.b8ea443495e78p-1;0x0p+0;0x1.936243f580d47p+1;0x1.08p+7;
ukp5_int_cutstock;402_10000_NR_40.csp.txt;1;1742;0x1.1c91d4e55b4afp+0;0x1.d3d6f885f45bdp-6;0x1.7a2ffdba919dfp+1;0x1.08p+7;
ukp5_int_ns_cutstock;402_10000_NR_40.csp.txt;1;1729;0x1.9099d2685bf8fp-1;0x0p+0;0x1.7a2b6a62b08a6p+1;0x1.07fffffffffffp+7;
mtu1_cutstock;402_10000_NR_40.csp.txt;1;;;;;;
cplex_cutstock;402_10000_NR_40.csp.txt;1;;;;;;
ukp5_fp_cutstock;402_10000_NR_41.csp.txt;1;1845;0x1.4d645271df381p+0;0x1.1cdc8392e0dc6p-5;0x1.b7b5a2100222cp+1;0x1.08000022ab3c1p+7;
ukp5_fp_ns_cutstock;402_10000_NR_41.csp.txt;1;1727;0x1.8ee67412cc60bp-1;0x0p+0;0x1.852f2e4dbd99dp+1;0x1.0800002a2df26p+7;
ukp5_int_cutstock;402_10000_NR_41.csp.txt;1;1830;0x1.343b529e54e21p+0;0x1.e65f8ad505abfp-6;0x1.ac0a1926a030dp+1;0x1.0800002304647p+7;
ukp5_int_ns_cutstock;402_10000_NR_41.csp.txt;1;1757;0x1.85fc90118e254p-1;0x0p+0;0x1.8e5c09d6987ccp+1;0x1.080000200e7f8p+7;
mtu1_cutstock;402_10000_NR_41.csp.txt;1;;;;;;
cplex_cutstock;402_10000_NR_41.csp.txt;1;;;;;;
ukp5_fp_cutstock;402_10000_NR_45.csp.txt;1;1692;0x1.10f537604fb1ep+0;0x1.031dfcc02f859p-5;0x1.86b1b3cc75ba2p+1;0x1.0800000000002p+7;
ukp5_fp_ns_cutstock;402_10000_NR_45.csp.txt;1;1655;0x1.47a77abef42d2p-1;0x0p+0;0x1.806cc282e94b7p+1;0x1.07ffffffffffcp+7;
ukp5_int_cutstock;402_10000_NR_45.csp.txt;1;1646;0x1.e29ee439d9735p-1;0x1.b86eca15c0e54p-6;0x1.6c9c95642236ap+1;0x1.0800000000002p+7;
ukp5_int_ns_cutstock;402_10000_NR_45.csp.txt;1;1637;0x1.36137c922a6d7p-1;0x0p+0;0x1.72c5e0d517742p+1;0x1.0800000000001p+7;
mtu1_cutstock;402_10000_NR_45.csp.txt;1;;;;;;
