num_iter;knapsack_time;sort_time
346;0x1.52a228224ccadp-12;0x1.5638be2ef1a77p-15
347;0x1.4ec17b824ec6bp-13;0x1.722e4e4fa1dc6p-15
348;0x1.b927175fdcce4p-14;0x1.4a9ca0230f687p-15
349;0x1.385b2a0c06e33p-13;0x1.4b07ffed7a5b3p-15
350;0x1.bc39120099bf2p-14;0x1.60094c7c51d78p-15
351;0x1.282b98343ecbfp-13;0x1.4e98ae26076a7p-15
352;0x1.7b0ee166af2ep-13;0x1.45b2333ae24b8p-15
353;0x1.178e80d08ebdp-13;0x1.45d48f52b2993p-15
354;0x1.3de0becfbc9eep-14;0x1.64c47ac3c089ap-15
355;0x1.035be640f853fp-14;0x1.5fbbfd46bd28cp-15
356;0x1.53ee7ad89f7a2p-14;0x1.62222b7068953p-15
357;0x1.7091fd31de385p-14;0x1.61c7f9b1e5c95p-15
358;0x1.c8c38ef1b118fp-14;0x1.4a0a98bdda1e5p-15
359;0x1.60dde64faab82p-14;0x1.6000b5765dc42p-15
360;0x1.00b7fa9c829bfp-13;0x1.447ad0a3128b9p-15
361;0x1.377b4a00dda92p-13;0x1.5b81a8589b99fp-15
362;0x1.2cc606b4faf4p-14;0x1.57029b3ad96fdp-15
363;0x1.0a6b01c56bc94p-14;0x1.5d5e662305cfbp-15
364;0x1.c8103e556a03ap-14;0x1.5873f93ad8b2dp-15
365;0x1.15d4a88e54163p-14;0x1.62afe752a3d5ap-15
366;0x1.3791d6707e5c2p-14;0x1.5a4c6b8248deep-15
367;0x1.9e4bec22e497bp-14;0x1.5c22b8083c061p-15
368;0x1.3d92e629c8aeep-13;0x1.5973862bf5f48p-15
369;0x1.7e50a41889caep-13;0x1.5d9a874cb257ap-15
370;0x1.b19fb98810491p-14;0x1.636ce1d59d80ep-15
371;0x1.37b0f9e613228p-13;0x1.e6a5f807f5282p-15
372;0x1.4f049760d19e6p-13;0x1.cef12e19dd908p-15
373;0x1.47c0556787f0fp-14;0x1.5683e7a309516p-15
374;0x1.31fb9d113fbadp-14;0x1.5672b997212a8p-15
375;0x1.4a415b83ce1a2p-14;0x1.5b413babf5085p-15
376;0x1.f7b1a7d84bb1p-14;0x1.60aa5c2bf243ap-15
377;0x1.1a6bde6cd4b6fp-13;0x1.550c185e92ffcp-15
378;0x1.6c0f2e018145ap-13;0x1.4eb04d76669fep-15
379;0x1.7e8ffde471dap-14;0x1.81dbf3ed5e4ep-15
380;0x1.3cad1e4a87a77p-13;0x1.59466d4cb48e9p-15
381;0x1.01c0a803f3324p-12;0x1.4c146f6785bap-15
382;0x1.80b3999ff9bp-13;0x1.4e42c7ea7ea84p-15
383;0x1.5acff40d72483p-13;0x1.4d3aa3f36d532p-15
384;0x1.37fd363ae94edp-13;0x1.71a4ddf060a5bp-15
385;0x1.7ae6140a67d1cp-13;0x1.66d90e34dd3dap-15
386;0x1.72b0c3fa0cc35p-13;0x1.5f1030cfaba46p-15
387;0x1.75fa0ad11cf13p-14;0x1.56860d6486563p-15
388;0x1.2ecb91dbac86p-14;0x1.5ffa4431e6b59p-15
389;0x1.70a43e1e84e18p-14;0x1.58852746c0d9ap-15
390;0x1.02fe7be03a00cp-13;0x1.5fe91625fe8ebp-15
391;0x1.0d18529864768p-12;0x1.56f392f06e4ddp-15
392;0x1.81bcd077c987ap-14;0x1.60dde64faab82p-15
393;0x1.c6769c6982a59p-13;0x1.5e51108b34f45p-15
